37,561a6fc5e318,hitActn,L1: request is a hit,0,fffffffe,cycle
37,561a6fc5e318,hitActn,L1: request is a hit,0,326,cycle
38,561a6fc5e31c,msgProc,L1: message is taken from the L1's processing queue to be processed,0,326,cycle
38,561a6fc5e31c,wrCache,L1: New data written to cache,0,ffffffff,cycle
38,561a6fc5e31c,wrCache,L1: New data written to cache,a,ffffffff,cycle
38,561a6fc5e31c,hitActn,L1: request is a hit,0,fffffffe,cycle
38,561a6fc5e31c,hitActn,L1: request is a hit,0,326,cycle
39,561a6fc5e320,add2q_l,L1: The message is added to the processing queue from the core,0,328,cycle
39,561a6fc5e320,msgProc,L1: message is taken from the L1's processing queue to be processed,0,328,cycle
39,561a6fc5e320,wrCache,L1: New data written to cache,0,ffffffff,cycle
39,561a6fc5e320,wrCache,L1: New data written to cache,a,ffffffff,cycle
39,561a6fc5e320,hitActn,L1: request is a hit,0,fffffffe,cycle
39,561a6fc5e320,hitActn,L1: request is a hit,0,328,cycle
3a,561a6fc5e324,add2q_l,L1: The message is added to the processing queue from the core,0,329,cycle
3a,561a6fc5e324,msgProc,L1: message is taken from the L1's processing queue to be processed,0,329,cycle
3a,561a6fc5e324,wrCache,L1: New data written to cache,0,ffffffff,cycle
3a,561a6fc5e324,wrCache,L1: New data written to cache,a,ffffffff,cycle
3a,561a6fc5e324,hitActn,L1: request is a hit,0,fffffffe,cycle
3a,561a6fc5e324,hitActn,L1: request is a hit,0,329,cycle
3b,561a6fc5e328,add2q_l,L1: The message is added to the processing queue from the core,0,32a,cycle
3b,561a6fc5e328,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32a,cycle
3b,561a6fc5e328,wrCache,L1: New data written to cache,0,ffffffff,cycle
3b,561a6fc5e328,wrCache,L1: New data written to cache,a,ffffffff,cycle
3b,561a6fc5e328,hitActn,L1: request is a hit,0,fffffffe,cycle
3b,561a6fc5e328,hitActn,L1: request is a hit,0,32a,cycle
3c,561a6fc5e32c,add2q_l,L1: The message is added to the processing queue from the core,0,32b,cycle
3c,561a6fc5e32c,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32b,cycle
3c,561a6fc5e32c,wrCache,L1: New data written to cache,0,ffffffff,cycle
3c,561a6fc5e32c,wrCache,L1: New data written to cache,a,ffffffff,cycle
3c,561a6fc5e32c,hitActn,L1: request is a hit,0,fffffffe,cycle
3c,561a6fc5e32c,hitActn,L1: request is a hit,0,32b,cycle
3d,561a6fc5e330,add2q_l,L1: The message is added to the processing queue from the core,0,32c,cycle
3d,561a6fc5e330,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32c,cycle
3d,561a6fc5e330,wrCache,L1: New data written to cache,0,ffffffff,cycle
3d,561a6fc5e330,wrCache,L1: New data written to cache,a,ffffffff,cycle
3d,561a6fc5e330,hitActn,L1: request is a hit,0,fffffffe,cycle
3d,561a6fc5e330,hitActn,L1: request is a hit,0,32c,cycle
3e,561a6fc5e334,add2q_l,L1: The message is added to the processing queue from the core,0,32d,cycle
3e,561a6fc5e334,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32d,cycle
3e,561a6fc5e334,wrCache,L1: New data written to cache,0,ffffffff,cycle
3e,561a6fc5e334,wrCache,L1: New data written to cache,a,ffffffff,cycle
3e,561a6fc5e334,hitActn,L1: request is a hit,0,fffffffe,cycle
3e,561a6fc5e334,hitActn,L1: request is a hit,0,32d,cycle
3f,561a6fc5e338,add2q_l,L1: The message is added to the processing queue from the core,0,32e,cycle
3f,561a6fc5e338,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32e,cycle
3f,561a6fc5e338,wrCache,L1: New data written to cache,0,ffffffff,cycle
3f,561a6fc5e338,wrCache,L1: New data written to cache,a,ffffffff,cycle
3f,561a6fc5e338,hitActn,L1: request is a hit,0,fffffffe,cycle
3f,561a6fc5e338,hitActn,L1: request is a hit,0,32e,cycle
40,561a6fc5e33c,add2q_l,L1: The message is added to the processing queue from the core,0,32f,cycle
40,561a6fc5e33c,msgProc,L1: message is taken from the L1's processing queue to be processed,0,32f,cycle
40,561a6fc5e33c,wrCache,L1: New data written to cache,0,ffffffff,cycle
40,561a6fc5e33c,wrCache,L1: New data written to cache,a,ffffffff,cycle
40,561a6fc5e33c,hitActn,L1: request is a hit,0,fffffffe,cycle
40,561a6fc5e33c,hitActn,L1: request is a hit,0,32f,cycle
41,561a6fc5e340,add2q_l,L1: The message is added to the processing queue from the core,0,330,cycle
41,561a6fc5e340,Miss?  ,L1: Was the request a miss?,0,1,boolean
41,561a6fc5e340,MSIredy,L1: Protocol determines message is now ready to be processed,0,330,cycle
41,561a6fc5e340,msgProc,L1: message is taken from the L1's processing queue to be processed,0,330,cycle
41,561a6fc5e340,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,0,330,cycle
41,561a6fc5e340,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,0,331,cycle
42,561a6fc5e344,add2q_l,L1: The message is added to the processing queue from the core,0,331,cycle
41,561a6fc5e340,add2q_u,L1 receives message from the bus,0,332,cycle
44,561a6fc5e348,add2q_l,L1: The message is added to the processing queue from the core,0,332,cycle
41,561a6fc5e340,add2q_l,L1: The message is added to the processing queue from the core,a,332,cycle
41,561a6fc5e340,Miss?  ,L1: Was the request a miss?,a,1,boolean
41,561a6fc5e340,LLCredy,,a,332,cycle
41,561a6fc5e340,msgProc,L1: message is taken from the L1's processing queue to be processed,a,332,cycle
41,561a6fc5e340,add_req,L1: the core's controller processes the message -> miss -> sends req to LLC,a,332,cycle
45,561a6fc5e34c,add2q_l,L1: The message is added to the processing queue from the core,0,333,cycle
47,561a6fc5e350,add2q_l,L1: The message is added to the processing queue from the core,0,334,cycle
48,561a6fc5e354,add2q_l,L1: The message is added to the processing queue from the core,0,335,cycle
49,561a6fc5e358,add2q_l,L1: The message is added to the processing queue from the core,0,336,cycle
4a,561a6fc5e35c,add2q_l,L1: The message is added to the processing queue from the core,0,337,cycle
41,561a6fc5e340,add2q_u,L1 receives message from the bus,a,433,cycle
41,561a6fc5e340,respond,L1 responds to core,a,433,cycle
41,561a6fc5e340,updaDat,L1 attempts to update its data array,a,433,cycle
41,561a6fc5e340,wrCache,L1: New data written to cache,a,433,cycle
41,561a6fc5e340,respond,L1 responds to core,a,434,cycle
41,561a6fc5e340,add2q_u,L1 receives message from the bus,0,438,cycle
41,561a6fc5e340,respond,L1 responds to core,0,438,cycle
41,561a6fc5e340,updaDat,L1 attempts to update its data array,0,438,cycle
41,561a6fc5e340,wrCache,L1: New data written to cache,0,438,cycle
42,561a6fc5e344,msgProc,L1: message is taken from the L1's processing queue to be processed,0,438,cycle
42,561a6fc5e344,wrCache,L1: New data written to cache,0,ffffffff,cycle
42,561a6fc5e344,wrCache,L1: New data written to cache,a,ffffffff,cycle
42,561a6fc5e344,hitActn,L1: request is a hit,0,fffffffe,cycle
42,561a6fc5e344,hitActn,L1: request is a hit,0,438,cycle
44,561a6fc5e348,msgProc,L1: message is taken from the L1's processing queue to be processed,0,438,cycle
